FP,target_win,jockey,horse_id,jockey_te,horse_id_te
1.0,1,N.Furukawa,2021102914,1.0,1.0
2.0,0,H.Kameda,2021105358,0.0,0.0
3.0,0,H.Yoshida,2021100594,0.2,0.0
4.0,0,S.Ishibashi,2021100338,0.1111111111111111,0.0
5.0,0,K.Kokubun,2021106854,0.0,0.0
6.0,0,A.Tomita,2021102952,0.0,0.0
7.0,0,A.Saito,2021102433,0.0,0.0
8.0,0,Y.Tannai,2021105057,0.25,0.0
9.0,0,M.Muto,2021102388,0.0,0.0
10.0,0,T.Nagano,2021100243,0.0,0.0
11.0,0,G.Maruyama,2021101223,0.0,0.0
12.0,0,M.Kobayashi,2021103552,0.0,0.0
13.0,0,K.Ogino,2021100060,0.25,0.0
14.0,0,D.Sasaki,2021105894,0.16666666666666666,0.0
15.0,0,R.Oikawa,2021103695,0.0,0.0
16.0,0,Y.Suzuki,2021100121,0.0,0.0
1.0,1,Y.Hishida,2021110049,0.3333333333333333,0.5
2.0,0,K.Kikuzawa,2021103039,0.0,0.0
3.0,0,Y.Tannai,2021104401,0.25,0.0
4.0,0,R.Yokoyama,2021104481,0.0,0.0
5.0,0,D.Sasaki,2021100152,0.16666666666666666,0.0
6.0,0,A.Saito,2021100243,0.0,0.0
7.0,0,K.Nishizuka,2021110153,0.0,0.0
9.0,0,K.Yokoyama,2021102670,0.0,0.0
10.0,0,Y.Tsunoda,2021104140,0.0,0.0
11.0,0,M.Sugihara,2021101905,0.0,0.0
12.0,0,H.Kameda,2021104074,0.0,0.0
13.0,0,A.Tomita,2021105068,0.0,0.0
14.0,0,S.Ishibashi,2021101730,0.1111111111111111,0.0
15.0,0,M.Okabe,2021101386,0.0,0.0
16.0,0,M.Muto,2021104404,0.0,0.0
1.0,1,Y.Tannai,2021100610,0.25,0.25
2.0,0,K.Kikuzawa,2021105373,0.0,0.0
3.0,0,M.Nagashima,2021100782,0.0,0.0
4.0,0,M.Muto,2021106994,0.0,0.0
5.0,0,Y.Iwata,2021104896,0.0,0.0
6.0,0,G.Maruyama,2021100792,0.0,0.0
7.0,0,M.Sugihara,2021103338,0.0,0.0
8.0,0,S.Ishibashi,2021102054,0.1111111111111111,0.0
9.0,0,K.Kato,2021103695,0.0,0.0
10.0,0,R.Kobayashi,2021103710,0.0,0.0
11.0,0,M.Kobayashi,2021104050,0.0,0.0
12.0,0,R.Sugahara,2021107336,0.0,0.0
1.0,1,T.Yokoyama,2021103559,0.14285714285714285,0.5
3.0,0,A.Sugawara,2021106615,0.0,0.0
5.0,0,C.Lemaire,2021105974,0.26666666666666666,0.0
6.0,0,R.King,2021105358,0.25,0.0
7.0,0,K.Miura,2021100610,0.0,0.25
8.0,0,R.Piechulek,2021101289,0.0,0.0
1.0,1,Y.Kawada,2021110160,0.8,1.0
2.0,0,T.Yokoyama,2021104908,0.14285714285714285,0.3333333333333333
3.0,0,H.Tanabe,2021105609,0.125,0.5
4.0,0,K.Matsuyama,2021103535,0.1,0.0
5.0,0,N.Fujita,2021101023,0.0,0.0
6.0,0,C.Lemaire,2021105668,0.26666666666666666,0.0
7.0,0,S.Kobayashi,2021100610,0.0,0.25
8.0,0,Y.Hara,2021102280,0.16666666666666666,0.5
9.0,0,K.Yokoyama,2021106939,0.0,0.0
10.0,0,A.Sugawara,2021102388,0.0,0.0
11.0,0,K.Kato,2021103695,0.0,0.0
12.0,0,T.Kowata,2021101189,0.0,0.0
13.0,0,T.Nagano,2021100247,0.0,0.0
1.0,1,R.King,2021106069,0.25,1.0
2.0,0,C.Lemaire,2021105871,0.26666666666666666,0.0
3.0,0,Y.Yoshida,2021103303,0.0,0.0
4.0,0,M.Matsuoka,2021106369,0.2,0.0
5.0,0,K.Tosaki,2021105578,0.23076923076923078,0.0
6.0,0,Y.Ishikawa,2021102106,0.0,0.0
7.0,0,A.Sugawara,2021106102,0.0,0.0
8.0,0,B.Murzabayev,2021104554,0.0,0.0
9.0,0,H.Tanabe,2021100152,0.125,0.0
10.0,0,S.Ishibashi,2021104326,0.1111111111111111,0.5
11.0,0,H.Uchida,2021103326,0.0,0.0
12.0,0,K.Yokoyama,2021104724,0.0,0.0
1.0,1,A.Tsumura,2021100171,0.125,1.0
2.0,0,T.O'shea,2021104554,0.0,0.0
3.0,0,S.Ishibashi,2021105773,0.1111111111111111,0.0
4.0,0,J.Iwabe,2021103129,0.0,0.0
5.0,0,H.Tanabe,2021105973,0.125,0.0
6.0,0,T.Yokoyama,2021103488,0.14285714285714285,0.0
7.0,0,J.Shimada,2021107373,0.0,0.0
8.0,0,H.Mayuzumi,2021107156,0.0,0.0
9.0,0,H.Matoba,2021101985,0.0,0.0
1.0,1,T.Yokoyama,2021104908,0.14285714285714285,0.3333333333333333
2.0,0,K.Tosaki,2021110003,0.23076923076923078,0.0
3.0,0,A.Tsumura,2021106298,0.125,0.0
4.0,0,A.Sugawara,2021106308,0.0,0.0
5.0,0,T.O'shea,2021103513,0.0,0.0
6.0,0,K.Miura,2021106648,0.0,0.0
7.0,0,Y.Ishikawa,2021105901,0.0,0.0
8.0,0,H.Kitamura,2021105397,0.2,0.0
9.0,0,K.Ogino,2021100060,0.25,0.0
10.0,0,R.Sugahara,2021102521,0.0,0.0
,0,K.Maruta,2021101223,0.0,0.0
1.0,1,C.Lemaire,2021105661,0.26666666666666666,0.5
2.0,0,R.Sakai,2021105831,0.1111111111111111,0.0
3.0,0,M.Iwata,2021105773,0.0,0.0
4.0,0,Y.Kawada,2021105141,0.8,0.0
5.0,0,Y.Yoshida,2021103303,0.0,0.0
6.0,0,K.Tosaki,2021102717,0.23076923076923078,0.0
7.0,0,T.O'shea,2021104554,0.0,0.0
8.0,0,K.Kawamata,2021105973,0.0,0.0
9.0,0,K.Matsuyama,2021105555,0.1,0.0
11.0,0,K.Nagahama,2021101015,0.0,0.0
1.0,1,C.Lemaire,2021105888,0.26666666666666666,1.0
2.0,0,G.Maruyama,2021106308,0.0,0.0
3.0,0,A.Tsumura,2021106298,0.125,0.0
4.0,0,J.Moreira,2021103039,0.0,0.0
5.0,0,M.Sugihara,2021105057,0.0,0.0
6.0,0,H.Oehara,2021100247,0.0,0.0
7.0,0,T.Yokoyama,2021100152,0.14285714285714285,0.0
